customer_id,f_name,l_name,state,address
1,Name1,Surname1,Karnataka,Address 1
2,Name2,Surname2,Mumbai,Address 2
3,Name3,Surname3,Punjab,Address 3
4,Name4,Surname4,Rajasthan,Address 4
5,Name5,Surname5,Delhi,Address 5
6,Name6,Surname6,Delhi,Address 6
7,Name7,Surname7,UP,Address 7
8,Name8,Surname8,Delhi,Address 8
9,Name9,Surname9,Karnataka,Address 9
10,Name10,Surname10,UP,Address 10
11,Name11,Surname11,Delhi,Address 11
12,Name12,Surname12,UP,Address 12
13,Name13,Surname13,Mumbai,Address 13
14,Name14,Surname14,Delhi,Address 14
15,Name15,Surname15,Delhi,Address 15
16,Name16,Surname16,Punjab,Address 16
17,Name17,Surname17,Punjab,Address 17
18,Name18,Surname18,Delhi,Address 18
19,Name19,Surname19,Mumbai,Address 19
20,Name20,Surname20,Delhi,Address 20
21,Name21,Surname21,UP,Address 21
22,Name22,Surname22,Punjab,Address 22
23,Name23,Surname23,Delhi,Address 23
24,Name24,Surname24,UP,Address 24
25,Name25,Surname25,Delhi,Address 25
